,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
0,2020-01-30,Kerala,1,0,0,10.8505,76.2711,0,1
1,2020-01-31,Kerala,1,0,0,10.8505,76.2711,0,1
2,2020-02-01,Kerala,2,0,0,10.8505,76.2711,0,2
3,2020-02-02,Kerala,3,0,0,10.8505,76.2711,0,3
4,2020-02-03,Kerala,3,0,0,10.8505,76.2711,0,3
5,2020-02-04,Kerala,3,0,0,10.8505,76.2711,0,3
6,2020-02-05,Kerala,3,0,0,10.8505,76.2711,0,3
7,2020-02-06,Kerala,3,0,0,10.8505,76.2711,0,3
8,2020-02-07,Kerala,3,0,0,10.8505,76.2711,0,3
9,2020-02-08,Kerala,3,0,0,10.8505,76.2711,0,3
10,2020-02-09,Kerala,3,0,0,10.8505,76.2711,0,3
11,2020-02-10,Kerala,3,0,0,10.8505,76.2711,0,3
12,2020-02-11,Kerala,3,0,0,10.8505,76.2711,0,3
13,2020-02-12,Kerala,3,0,0,10.8505,76.2711,0,3
14,2020-02-13,Kerala,3,0,0,10.8505,76.2711,0,3
15,2020-02-14,Kerala,3,0,0,10.8505,76.2711,0,3
16,2020-02-15,Kerala,3,0,0,10.8505,76.2711,0,3
17,2020-02-16,Kerala,3,0,0,10.8505,76.2711,0,3
18,2020-02-17,Kerala,3,0,0,10.8505,76.2711,0,3
19,2020-02-18,Kerala,3,0,0,10.8505,76.2711,0,3
20,2020-02-19,Kerala,3,0,0,10.8505,76.2711,0,3
21,2020-02-20,Kerala,3,0,0,10.8505,76.2711,0,3
22,2020-02-21,Kerala,3,0,0,10.8505,76.2711,0,3
23,2020-02-22,Kerala,3,0,0,10.8505,76.2711,0,3
24,2020-02-23,Kerala,3,0,0,10.8505,76.2711,0,3
25,2020-02-24,Kerala,3,0,0,10.8505,76.2711,0,3
26,2020-02-25,Kerala,3,0,0,10.8505,76.2711,0,3
27,2020-02-26,Kerala,3,0,0,10.8505,76.2711,0,3
28,2020-02-27,Kerala,3,0,0,10.8505,76.2711,0,3
