Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude,Total Confirmed cases (Including 70 foreign Nationals) ,Total Confirmed cases (Including 66 foreign Nationals) ,Total Confirmed cases (Including 51 foreign Nationals) ,Total Confirmed cases (Including 49 foreign Nationals) ,Total Confirmed cases ( Foreign National ),Total Confirmed cases (Indian National),Total Confirmed cases *
Kerala,,0,0,2020-01-30,10.8505,76.2711,,,,,0,1,
Kerala,,0,0,2020-01-31,10.8505,76.2711,,,,,0,1,
Kerala,,0,0,2020-02-01,10.8505,76.2711,,,,,0,2,
Kerala,,0,0,2020-02-02,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-03,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-04,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-05,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-06,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-07,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-08,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-09,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-10,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-11,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-12,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-13,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-14,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-15,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-16,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-17,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-18,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-19,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-20,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-21,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-22,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-23,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-24,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-25,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-26,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-27,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-28,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-02-29,10.8505,76.2711,,,,,0,3,
Kerala,,0,0,2020-03-01,10.8505,76.2711,,,,,0,3,
Delhi,,0,0,2020-03-02,28.7041,77.1025,,,,,0,1,
Kerala,,0,0,2020-03-02,10.8505,76.2711,,,,,0,3,
Telengana,,0,0,2020-03-02,18.1124,79.0193,,,,,0,1,
Delhi,,0,0,2020-03-03,28.7041,77.1025,,,,,0,1,
Kerala,,3,0,2020-03-03,10.8505,76.2711,,,,,0,3,
Rajasthan,,0,0,2020-03-03,27.0238,74.2179,,,,,0,0,
Telengana,,0,0,2020-03-03,18.1124,79.0193,,,,,0,1,
Delhi,,0,0,2020-03-04,28.7041,77.1025,,,,,0,1,
Haryana,,0,0,2020-03-04,29.0588,76.0856,,,,,14,0,
Kerala,,3,0,2020-03-04,10.8505,76.2711,,,,,0,3,
Rajasthan,,0,0,2020-03-04,27.0238,74.2179,,,,,0,1,
Telengana,,0,0,2020-03-04,18.1124,79.0193,,,,,0,1,
Uttar Pradesh,,0,0,2020-03-04,26.8467,80.9462,,,,,0,6,
Delhi,,0,0,2020-03-05,28.7041,77.1025,,,,,0,2,
Haryana,,0,0,2020-03-05,29.0588,76.0856,,,,,14,0,
Kerala,,3,0,2020-03-05,10.8505,76.2711,,,,,0,3,
Rajasthan,,0,0,2020-03-05,27.0238,74.2179,,,,,0,1,
Telengana,,0,0,2020-03-05,18.1124,79.0193,,,,,0,1,
Uttar Pradesh,,0,0,2020-03-05,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-06,28.7041,77.1025,,,,,0,3,
Haryana,,0,0,2020-03-06,29.0588,76.0856,,,,,14,0,
Kerala,,3,0,2020-03-06,10.8505,76.2711,,,,,0,3,
Rajasthan,,0,0,2020-03-06,27.0238,74.2179,,,,,0,1,
Telengana,,0,0,2020-03-06,18.1124,79.0193,,,,,0,1,
Uttar Pradesh,,0,0,2020-03-06,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-07,28.7041,77.1025,,,,,0,3,
Haryana,,0,0,2020-03-07,29.0588,76.0856,,,,,14,0,
Kerala,,3,0,2020-03-07,10.8505,76.2711,,,,,0,3,
Rajasthan,,0,0,2020-03-07,27.0238,74.2179,,,,,0,1,
Tamil Nadu,,0,0,2020-03-07,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-07,18.1124,79.0193,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-07,34.2996,78.2932,,,,,0,2,
Uttar Pradesh,,0,0,2020-03-07,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-08,28.7041,77.1025,,,,,0,3,
Haryana,,0,0,2020-03-08,29.0588,76.0856,,,,,14,0,
Kerala,,3,0,2020-03-08,10.8505,76.2711,,,,,0,8,
Rajasthan,,0,0,2020-03-08,27.0238,74.2179,,,,,0,1,
Tamil Nadu,,0,0,2020-03-08,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-08,18.1124,79.0193,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-08,34.2996,78.2932,,,,,0,2,
Uttar Pradesh,,0,0,2020-03-08,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-09,28.7041,77.1025,,,,,0,4,
Haryana,,0,0,2020-03-09,29.0588,76.0856,,,,,14,0,
Karnataka,,0,0,2020-03-09,15.3173,75.7139,,,,,0,1,
Kerala,,3,0,2020-03-09,10.8505,76.2711,,,,,0,9,
Maharashtra,,0,0,2020-03-09,19.7515,75.7139,,,,,0,2,
Punjab,,0,0,2020-03-09,31.1471,75.3412,,,,,0,1,
Rajasthan,,0,0,2020-03-09,27.0238,74.2179,,,,,0,1,
Tamil Nadu,,0,0,2020-03-09,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-09,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-09,33.7782,76.5762,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-09,34.2996,78.2932,,,,,0,2,
Uttar Pradesh,,0,0,2020-03-09,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-10,28.7041,77.1025,,,,,0,4,
Haryana,,0,0,2020-03-10,29.0588,76.0856,,,,,14,0,
Karnataka,,0,0,2020-03-10,15.3173,75.7139,,,,,0,4,
Kerala,,3,0,2020-03-10,10.8505,76.2711,,,,,0,15,
Maharashtra,,0,0,2020-03-10,19.7515,75.7139,,,,,0,5,
Punjab,,0,0,2020-03-10,31.1471,75.3412,,,,,0,1,
Rajasthan,,0,0,2020-03-10,27.0238,74.2179,,,,,0,1,
Tamil Nadu,,0,0,2020-03-10,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-10,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-10,33.7782,76.5762,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-10,34.2996,78.2932,,,,,0,2,
Uttar Pradesh,,0,0,2020-03-10,26.8467,80.9462,,,,,0,7,
Delhi,,0,0,2020-03-11,28.7041,77.1025,,,,,0,5,
Haryana,,0,0,2020-03-11,29.0588,76.0856,,,,,14,0,
Karnataka,,0,0,2020-03-11,15.3173,75.7139,,,,,0,4,
Kerala,,3,0,2020-03-11,10.8505,76.2711,,,,,0,17,
Maharashtra,,0,0,2020-03-11,19.7515,75.7139,,,,,0,10,
Punjab,,0,0,2020-03-11,31.1471,75.3412,,,,,0,1,
Rajasthan,,0,0,2020-03-11,27.0238,74.2179,,,,,2,1,
Tamil Nadu,,0,0,2020-03-11,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-11,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-11,33.7782,76.5762,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-11,34.2996,78.2932,,,,,0,2,
Uttar Pradesh,,0,0,2020-03-11,26.8467,80.9462,,,,,0,9,
Andhra Pradesh,,0,0,2020-03-12,15.9129,79.74,,,,,0,1,
Delhi,,0,0,2020-03-12,28.7041,77.1025,,,,,0,6,
Haryana,,0,0,2020-03-12,29.0588,76.0856,,,,,14,0,
Karnataka,,0,1,2020-03-12,15.3173,75.7139,,,,,0,4,
Kerala,,3,0,2020-03-12,10.8505,76.2711,,,,,0,17,
Maharashtra,,0,0,2020-03-12,19.7515,75.7139,,,,,0,11,
Punjab,,0,0,2020-03-12,31.1471,75.3412,,,,,0,1,
Rajasthan,,0,0,2020-03-12,27.0238,74.2179,,,,,2,1,
Tamil Nadu,,0,0,2020-03-12,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-12,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-12,33.7782,76.5762,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-12,34.2996,78.2932,,,,,0,3,
Uttar Pradesh,,0,0,2020-03-12,26.8467,80.9462,,,,,1,10,
Andhra Pradesh,,0,0,2020-03-13,15.9129,79.74,,,,,0,1,
Delhi,,0,0,2020-03-13,28.7041,77.1025,,,,,0,6,
Haryana,,0,0,2020-03-13,29.0588,76.0856,,,,,14,0,
Karnataka,,0,1,2020-03-13,15.3173,75.7139,,,,,0,5,
Kerala,,3,0,2020-03-13,10.8505,76.2711,,,,,0,17,
Maharashtra,,0,0,2020-03-13,19.7515,75.7139,,,,,0,11,
Punjab,,0,0,2020-03-13,31.1471,75.3412,,,,,0,1,
Rajasthan,,0,0,2020-03-13,27.0238,74.2179,,,,,2,1,
Tamil Nadu,,0,0,2020-03-13,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-13,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-13,33.7782,76.5762,,,,,0,1,
Union Territory of Ladakh,,0,0,2020-03-13,34.2996,78.2932,,,,,0,3,
Uttar Pradesh,,0,0,2020-03-13,26.8467,80.9462,,,,,1,10,
Andhra Pradesh,,0,0,2020-03-14,15.9129,79.74,,,,,0,1,
Delhi,,1,1,2020-03-14,28.7041,77.1025,,,,,0,7,
Haryana,,0,0,2020-03-14,29.0588,76.0856,,,,,14,0,
Karnataka,,0,1,2020-03-14,15.3173,75.7139,,,,,0,6,
Kerala,,3,0,2020-03-14,10.8505,76.2711,,,,,0,19,
Maharashtra,,0,0,2020-03-14,19.7515,75.7139,,,,,0,14,
Punjab,,0,0,2020-03-14,31.1471,75.3412,,,,,0,1,
Rajasthan,,1,0,2020-03-14,27.0238,74.2179,,,,,2,1,
Tamil Nadu,,0,0,2020-03-14,11.1271,78.6569,,,,,0,1,
Telengana,,0,0,2020-03-14,18.1124,79.0193,,,,,0,1,
Union Territory of Jammu and Kashmir,,0,0,2020-03-14,33.7782,76.5762,,,,,0,2,
Union Territory of Ladakh,,0,0,2020-03-14,34.2996,78.2932,,,,,0,3,
Uttar Pradesh,,5,0,2020-03-14,26.8467,80.9462,,,,,1,11,
Andhra Pradesh,,0,0,2020-03-15,15.9129,79.74,,,,,0,1,
Delhi,,2,1,2020-03-15,28.7041,77.1025,,,,,0,7,
Haryana,,0,0,2020-03-15,29.0588,76.0856,,,,,14,0,
Karnataka,,0,1,2020-03-15,15.3173,75.7139,,,,,0,6,
Kerala,,3,0,2020-03-15,10.8505,76.2711,,,,,0,23,
Maharashtra,,0,0,2020-03-15,19.7515,75.7139,,,,,0,32,
Punjab,,0,0,2020-03-15,31.1471,75.3412,,,,,0,1,
Rajasthan,,3,0,2020-03-15,27.0238,74.2179,,,,,2,2,
Tamil Nadu,,0,0,2020-03-15,11.1271,78.6569,,,,,0,1,
Telengana,,1,0,2020-03-15,18.1124,79.0193,,,,,0,3,
Union Territory of Jammu and Kashmir,,0,0,2020-03-15,33.7782,76.5762,,,,,0,2,
Union Territory of Ladakh,,0,0,2020-03-15,34.2996,78.2932,,,,,0,3,
Uttar Pradesh,,4,0,2020-03-15,26.8467,80.9462,,,,,1,12,
Uttarakhand,,0,0,2020-03-15,30.0668,79.0193,,,,,0,1,
Andhra Pradesh,,0,0,2020-03-16,15.9129,79.74,,,,,0,1,
Delhi,,2,1,2020-03-16,28.7041,77.1025,,,,,0,7,
Haryana,,0,0,2020-03-16,29.0588,76.0856,,,,,14,0,
Karnataka,,0,1,2020-03-16,15.3173,75.7139,,,,,0,6,
Kerala,,3,0,2020-03-16,10.8505,76.2711,,,,,0,23,
Maharashtra,,0,0,2020-03-16,19.7515,75.7139,,,,,0,32,
Odisha,,0,0,2020-03-16,20.9517,85.0985,,,,,0,1,
Punjab,,0,0,2020-03-16,31.1471,75.3412,,,,,0,1,
Rajasthan,,3,0,2020-03-16,27.0238,74.2179,,,,,2,2,
Tamil Nadu,,0,0,2020-03-16,11.1271,78.6569,,,,,0,1,
Telengana,,1,0,2020-03-16,18.1124,79.0193,,,,,0,3,
Union Territory of Jammu and Kashmir,,0,0,2020-03-16,33.7782,76.5762,,,,,0,3,
Union Territory of Ladakh,,0,0,2020-03-16,34.2996,78.2932,,,,,0,4,
Uttar Pradesh,,4,0,2020-03-16,26.8467,80.9462,,,,,1,12,
Uttarakhand,,0,0,2020-03-16,30.0668,79.0193,,,,,0,1,
Andhra Pradesh,,0,0,2020-03-17,15.9129,79.74,,,,,0,1,
Delhi,,2,1,2020-03-17,28.7041,77.1025,,,,,0,8,
Haryana,,0,0,2020-03-17,29.0588,76.0856,,,,,14,1,
Karnataka,,0,1,2020-03-17,15.3173,75.7139,,,,,0,11,
Kerala,,3,0,2020-03-17,10.8505,76.2711,,,,,2,24,
Maharashtra,,0,1,2020-03-17,19.7515,75.7139,,,,,3,36,
Odisha,,0,0,2020-03-17,20.9517,85.0985,,,,,0,1,
Punjab,,0,0,2020-03-17,31.1471,75.3412,,,,,0,1,
Rajasthan,,3,0,2020-03-17,27.0238,74.2179,,,,,2,2,
Tamil Nadu,,0,0,2020-03-17,11.1271,78.6569,,,,,0,1,
Telengana,,1,0,2020-03-17,18.1124,79.0193,,,,,2,3,
Union Territory of Jammu and Kashmir,,0,0,2020-03-17,33.7782,76.5762,,,,,0,3,
Union Territory of Ladakh,,0,0,2020-03-17,34.2996,78.2932,,,,,0,6,
Uttar Pradesh,,5,0,2020-03-17,26.8467,80.9462,,,,,1,14,
Uttarakhand,,0,0,2020-03-17,30.0668,79.0193,,,,,0,1,
Andhra Pradesh,,0,0,2020-03-18,15.9129,79.74,,,,,0,1,
Delhi,,2,1,2020-03-18,28.7041,77.1025,,,,,1,9,
Haryana,,0,0,2020-03-18,29.0588,76.0856,,,,,14,3,
Karnataka,,0,1,2020-03-18,15.3173,75.7139,,,,,0,11,
Kerala,,3,0,2020-03-18,10.8505,76.2711,,,,,2,25,
Maharashtra,,0,1,2020-03-18,19.7515,75.7139,,,,,3,39,
Odisha,,0,0,2020-03-18,20.9517,85.0985,,,,,0,1,
Puducherry,,0,0,2020-03-18,11.9416,79.8083,,,,,0,1,
Punjab,,0,0,2020-03-18,31.1471,75.3412,,,,,0,1,
Rajasthan,,3,0,2020-03-18,27.0238,74.2179,,,,,2,2,
Tamil Nadu,,0,0,2020-03-18,11.1271,78.6569,,,,,0,1,
Telengana,,1,0,2020-03-18,18.1124,79.0193,,,,,2,4,
Union Territory of Jammu and Kashmir,,0,0,2020-03-18,33.7782,76.5762,,,,,0,3,
Union Territory of Ladakh,,0,0,2020-03-18,34.2996,78.2932,,,,,0,8,
Uttar Pradesh,,5,0,2020-03-18,26.8467,80.9462,,,,,1,15,
Uttarakhand,,0,0,2020-03-18,30.0668,79.0193,,,,,0,1,
West Bengal,,0,0,2020-03-18,22.9868,87.855,,,,,0,1,
Andhra Pradesh,,0,0,2020-03-19,15.9129,79.74,,,,,0,2,
Chhattisgarh,,0,0,2020-03-19,21.2787,81.8661,,,,,0,1,
Delhi,,3,1,2020-03-19,28.7041,77.1025,,,,,1,11,
Haryana,,0,0,2020-03-19,29.0588,76.0856,,,,,14,3,
