district,active,confirmed,deceased,recovered
North and Middle Andaman,0,1,0,1
South Andaman,0,32,0,32
Anantapur,53,99,4,42
Chittoor,11,85,0,74
East Godavari,20,46,0,26
Guntur,202,374,8,164
Krishna,185,322,11,126
Kurnool,342,547,14,191
Other State,27,27,0,0
Prakasam,1,61,0,60
S.P.S. Nellore,33,96,3,60
Srikakulam,5,5,0,0
Visakhapatnam,33,57,1,23
Vizianagaram,4,4,0,0
West Godavari,35,68,0,33
Y.S.R. Kadapa,53,96,0,43
Lohit,0,1,0,1
Bongaigaon,5,5,0,0
Cachar,5,6,0,1
Dhubri,0,5,0,5
Goalpara,2,6,0,4
Golaghat,0,9,0,9
Hailakandi,0,1,1,0
Kamrup,0,1,0,1
Kamrup Metropolitan,3,5,1,1
Karimganj,1,2,0,1
Kokrajhar,1,1,0,0
Lakhimpur,0,1,0,1
Morigaon,0,6,0,6
Nalbari,0,4,0,4
Other State,0,1,0,1
South Salmara Mankachar,0,1,0,1
Araria,2,2,0,0
Arwal,4,5,0,1
Aurangabad,8,14,0,6
Banka,3,3,0,0
Begusarai,5,13,0,8
Bhagalpur,10,13,0,3
Bhojpur,8,18,0,10
Buxar,37,56,0,19
Darbhanga,5,5,0,0
East Champaran,8,9,1,0
Gaya,0,6,0,6
Gopalganj,15,18,0,3
Jehanabad,5,5,0,0
Kaimur,16,32,0,16
Katihar,10,10,0,0
Kishanganj,1,1,0,0
Lakhisarai,2,4,0,2
Madhepura,0,2,0,2
Madhubani,24,24,0,0
Munger,63,102,1,38
Nalanda,6,36,0,30
Nawada,1,4,0,3
Patna,29,47,0,18
Purnia,2,2,0,0
Rohtas,31,54,1,22
Samastipur,7,7,0,0
Saran,5,8,0,3
Sheikhpura,1,1,0,0
Sheohar,3,3,0,0
Sitamarhi,4,6,1,1
Siwan,7,32,0,25
Vaishali,0,3,1,2
West Champaran,11,11,0,0
Chandigarh,112,134,1,21
Bilaspur,0,1,0,1
Durg,9,10,0,1
Kabeerdham,6,6,0,0
Korba,0,28,0,28
Raipur,2,7,0,5
Rajnandgaon,0,1,0,1
Surajpur,6,6,0,0
Central Delhi,184,184,0,0
East Delhi,38,38,0,0
New Delhi,37,37,0,0
North Delhi,60,60,0,0
North East Delhi,25,25,0,0
North West Delhi,31,32,1,0
Shahdara,48,48,0,0
South Delhi,70,70,0,0
South East Delhi,130,130,0,0
South West Delhi,42,42,0,0
West Delhi,122,122,0,0
Dadra and Nagar Haveli,1,1,0,0
North Goa,0,6,0,6
South Goa,0,1,0,1
Other State,1,1,0,0
Ahmedabad,3784,4991,321,886
Anand,27,76,6,43
Aravalli,31,47,2,14
Banaskantha,43,67,2,22
Bharuch,0,27,2,25
Bhavnagar,57,83,5,21
Botad,39,48,1,8
Chhota Udaipur,2,14,0,12
Dahod,17,19,0,2
Dang,1,2,0,1
Devbhumi Dwarka,4,4,0,0
Gandhinagar,63,88,5,20
Gir Somnath,0,3,0,3
Jamnagar,8,9,1,0
Junagadh,2,2,0,0
Kheda,16,20,1,3
Kutch,1,7,1,5
Mahisagar,34,42,1,7
Mehsana,33,42,1,8
Morbi,0,1,0,1
Narmada,0,12,0,12
Navsari,4,8,0,4
Panchmahal,42,51,3,6
Patan,10,24,1,13
Porbandar,0,3,0,3
Rajkot,37,64,1,26
Sabarkantha,5,10,2,3
Surat,397,799,37,365
Surendranagar,0,1,0,1
Tapi,1,2,0,1
Vadodara,218,440,31,191
Valsad,2,6,1,3
Chamba,2,8,0,6
Hamirpur,0,2,0,2
Kangra,1,6,1,4
Mandi,1,2,1,0
Shimla,1,1,0,0
Sirmaur,1,2,0,1
Solan,0,9,1,5
Una,0,16,0,16
Ambala,28,41,2,11
Bhiwani,0,3,0,3
Charkhi Dadri,0,1,0,1
Faridabad,39,84,2,43
Fatehabad,4,5,0,1
Gurugram,66,117,0,51
Hisar,1,4,0,3
Italians,0,14,0,14
Jhajjar,73,73,0,0
Jind,12,14,0,2
Kaithal,0,2,0,2
Karnal,8,14,1,5
Kurukshetra,0,2,0,2
Mahendragarh,2,2,0,0
Nuh,6,59,0,53
Palwal,4,36,0,32
Panchkula,1,18,0,17
Panipat,28,34,1,5
Rohtak,1,4,1,2
Sirsa,2,6,0,4
Sonipat,78,84,0,6
Yamunanagar,5,8,0,3
Bokaro,0,10,1,9
Deoghar,2,4,0,2
Dhanbad,0,2,0,2
Dumka,2,2,0,0
Garhwa,3,3,0,0
Giridih,0,1,0,1
Godda,1,1,0,0
Hazaribagh,0,3,0,3
Jamtara,2,2,0,0
Koderma,0,1,0,1
Palamu,8,8,0,0
Ranchi,73,93,2,18
Simdega,1,2,0,1
Anantnag,120,122,1,1
Bandipora,70,134,1,63
Baramulla,60,105,3,42
Budgam,19,31,0,12
Ganderbal,2,16,0,14
Jammu,5,31,0,26
Kathua,1,1,0,0
Kishtwar,0,1,0,1
Kulgam,7,12,0,5
Kupwara,38,69,0,31
Pulwama,8,12,0,4
Rajouri,1,4,0,3
Ramban,1,1,0,0
Reasi,1,1,0,0
Samba,3,7,0,4
Shopiyan,64,98,0,34
Srinagar,47,126,3,76
Udhampur,2,22,1,19
Bagalkote,32,51,1,18
Ballari,6,15,0,9
Belagavi,48,83,1,34
Bengaluru Rural,0,6,0,6
Bengaluru Urban,79,163,6,77
Bidar,8,22,1,13
Chikkaballapura,7,21,2,12
Chitradurga,0,1,0,1
Dakshina Kannada,12,22,3,7
Davanagere,55,61,4,2
Dharwad,6,12,0,6
Gadag,3,5,1,1
Haveri,2,2,0,0
Kalaburagi,32,67,6,29
Kodagu,0,1,0,1
Mandya,17,28,0,11
Mysuru,7,88,0,81
Other State,2,20,0,18
Tumakuru,4,7,2,1
Udupi,0,3,0,3
Uttara Kannada,13,24,0,11
Vijayapura,20,48,3,25
Alappuzha,0,5,0,5
Ernakulam,0,24,1,23
Idukki,1,23,0,22
Kannur,15,116,1,100
Kasaragod,1,179,0,178
Kollam,3,20,0,17
Kottayam,0,21,0,21
Kozhikode,0,24,0,24
Malappuram,0,24,1,23
Palakkad,1,13,0,12
Pathanamthitta,0,17,0,17
Thiruvananthapuram,0,17,1,16
Thrissur,0,13,0,13
Wayanad,4,7,0,3
Kargil,5,9,0,4
Leh,20,33,0,13
Ahmednagar,22,53,2,29
Akola,63,99,10,26
Amravati,55,73,10,8
Aurangabad,357,400,12,31
Beed,0,1,0,1
Bhandara,1,1,0,0
Buldhana,-1,24,1,24
Chandrapur,2,4,0,2
Dhule,17,32,3,12
Gondia,0,1,0,1
Hingoli,57,58,0,1
Jalgaon,63,78,13,2
Jalna,7,8,0,1
Kolhapur,7,16,1,8
Latur,16,25,1,8
Mumbai,9164,11394,437,1793
Nagpur,141,206,2,63
Nanded,30,32,2,0
Nandurbar,14,19,1,4
Nashik,497,533,12,24
Osmanabad,0,3,0,3
Other States,26,34,8,0
Palghar,118,233,11,104
Parbhani,0,2,1,1
Pune,1330,2129,129,670
Raigad,153,201,3,45
Ratnagiri,10,16,1,5
Sangli,9,35,1,25
Satara,78,94,2,14
Sindhudurg,3,4,0,1
Solapur,151,183,10,22
Thane,1516,1889,21,352
Washim,-1,1,0,2
Yavatmal,74,93,0,19
East Khasi Hills,1,12,1,10
Imphal East,0,1,0,1
Imphal West,0,1,0,1
Agar Malwa,2,13,1,10
Alirajpur,0,3,0,3
Anuppur,3,3,0,0
Ashoknagar,0,1,1,0
Barwani,3,26,0,23
Betul,0,1,0,1
Bhopal,312,652,22,318
Burhanpur,34,38,4,0
Chhindwara,2,5,1,2
Dewas,11,30,7,12
Dhar,50,77,1,26
Dindori,1,1,0,0
Gwalior,10,12,0,2
Harda,3,3,0,0
Hoshangabad,11,36,3,22
Indore,1021,1699,83,595
Jabalpur,96,115,4,15
Jhabua,1,1,0,0
Khandwa,11,50,7,32
Khargone,35,80,8,37
Mandsaur,42,52,4,6
Morena,9,22,0,13
Neemuch,4,4,0,0
Panna,1,1,0,0
Raisen,39,64,3,22
Ratlam,8,20,0,12
Rewa,2,2,0,0
Sagar,0,5,0,5
Satna,0,1,1,0
Shahdol,3,3,0,0
Shajapur,1,8,1,6
Sheopur,0,4,0,4
Shivpuri,1,3,0,2
Tikamgarh,3,3,0,0
Ujjain,109,201,42,50
Vidisha,0,13,0,13
Aizawl,0,1,0,1
Balangir,2,2,0,0
Balasore,22,27,0,5
Bhadrak,11,23,0,12
Cuttack,1,2,0,1
Deogarh,1,1,0,0
Dhenkanal,0,1,0,1
Ganjam,47,47,0,0
Jagatsinghpur,5,5,0,0
Jajpur,54,55,0,1
Jharsuguda,2,2,0,0
Kalahandi,0,2,0,2
Kendrapara,6,8,0,2
Kendujhar,2,2,0,0
Khordha,16,50,2,32
Koraput,1,1,0,0
Mayurbhanj,4,4,0,0
Puri,0,1,0,1
Sundargarh,7,12,0,5
Amritsar,266,277,3,8
Barnala,18,20,1,1
Bathinda,39,39,0,0
Faridkot,42,45,0,3
Fatehgarh Sahib,18,20,0,2
Fazilka,39,39,0,0
Ferozepur,41,43,1,1
Gurdaspur,90,91,1,0
Hoshiarpur,80,89,3,6
Jalandhar,134,147,5,8
Kapurthala,14,18,2,2
Ludhiana,112,125,5,8
Mansa,14,19,0,5
Moga,52,56,0,4
Pathankot,16,27,1,10
Patiala,75,95,2,18
Rupnagar,11,14,1,2
S.A.S. Nagar,44,95,2,49
Sangrur,85,88,0,3
Shahid Bhagat Singh Nagar,67,86,1,18
Sri Muktsar Sahib,64,65,0,1
Tarn Taran,146,146,0,0
Mahe,1,2,0,1
Puducherry,2,7,0,5
Ajmer,123,189,3,63
Alwar,12,19,1,6
Banswara,8,66,0,58
Baran,1,1,0,0
Barmer,2,3,0,1
Bharatpur,9,116,2,105
Bhilwara,2,39,2,35
Bikaner,1,38,1,36
BSF Camp,42,42,0,0
Chittorgarh,114,116,2,0
Churu,0,14,0,14
Dausa,1,21,0,20
Dholpur,20,21,0,1
Dungarpur,4,9,0,5
Evacuees,0,61,0,61
Hanumangarh,0,11,0,11
Italians,0,2,0,2
Jaipur,387,1117,53,677
Jaisalmer,4,35,0,31
Jalore,4,4,0,0
Jhalawar,8,47,0,39
Jhunjhunu,0,42,0,42
Jodhpur,515,842,15,312
Karauli,0,4,1,3
Kota,61,231,11,159
Nagaur,37,119,2,80
Other state,0,2,2,0
Pali,53,55,0,2
Pratapgarh,1,4,1,2
Rajsamand,7,7,0,0
Sawai Madhopur,0,9,1,8
Sikar,3,8,2,3
Sirohi,1,1,0,0
Tonk,15,136,1,120
Udaipur,15,22,0,7
Other State,3,3,0,0
Adilabad,9,21,0,12
Bhadradri Kothagudem,0,4,0,4
Hyderabad,381,614,21,212
Jagtial,2,4,0,2
Jangaon,2,3,0,1
Jayashankar Bhupalapally,3,3,0,0
Jogulamba Gadwal,25,45,1,19
Kamareddy,4,12,0,8
Karimnagar,4,19,0,15
Khammam,5,8,0,3
Komaram Bheem,7,7,0,0
Mahabubabad,0,1,0,1
Mahabubnagar,3,11,0,8
Mancherial,0,1,1,0
Medak,2,5,0,3
Medchal Malkajgiri,16,22,1,5
Mulugu,0,2,0,2
Nagarkurnool,0,2,0,2
Nalgonda,5,17,0,12
Narayanpet,0,1,1,0
Nirmal,8,20,0,12
Nizamabad,32,61,0,29
Peddapalli,1,2,0,1
Rajanna Sircilla,3,3,0,0
Ranga Reddy,22,36,2,12
Sangareddy,1,7,0,6
Siddipet,0,1,0,1
