,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
0,Total,17304.0,2854.0,559.0,13891.0,24/04/2020 17:42:25,TT,0,0.0,0.0,
2,Maharashtra,4200.0,507.0,223.0,3470.0,24/04/2020 17:42:26,MH,0,0.0,0.0,
3,Delhi,2003.0,290.0,45.0,1668.0,24/04/2020 17:42:30,DL,0,0.0,0.0,
4,Gujarat,1743.0,105.0,63.0,1575.0,24/04/2020 17:42:32,GJ,0,0.0,0.0,
5,Rajasthan,1478.0,205.0,23.0,1250.0,24/04/2020 17:42:33,RJ,0,0.0,0.0,
6,Tamil Nadu,1477.0,411.0,15.0,1051.0,24/04/2020 17:42:34,TN,0,0.0,0.0,
7,Madhya Pradesh,1407.0,131.0,72.0,1204.0,24/04/2020 17:42:36,MP,0,0.0,0.0,
8,Uttar Pradesh,1100.0,127.0,17.0,956.0,24/04/2020 17:42:37,UP,0,0.0,0.0,
9,Telangana,858.0,186.0,21.0,651.0,24/04/2020 17:42:38,TG,0,0.0,0.0,
10,Andhra Pradesh,647.0,65.0,17.0,565.0,24/04/2020 17:42:39,AP,0,0.0,0.0,
11,Karnataka,390.0,111.0,16.0,263.0,24/04/2020 17:42:41,KA,0,0.0,0.0,
12,Kerala,401.0,270.0,2.0,129.0,24/04/2020 17:42:42,KL,0,0.0,0.0,
13,Jammu and Kashmir,354.0,56.0,5.0,293.0,24/04/2020 17:42:44,JK,0,0.0,0.0,
14,West Bengal,310.0,62.0,12.0,236.0,24/04/2020 17:42:45,WB,0,0.0,0.0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
15,Haryana,250.0,104.0,3.0,143.0,24/04/2020 17:42:46,HR,0,0.0,0.0,1 death in Ambala unaccounted.
16,Punjab,244.0,37.0,16.0,191.0,24/04/2020 17:42:47,PB,0,0.0,0.0,
17,Bihar,96.0,42.0,2.0,52.0,24/04/2020 17:42:48,BR,0,0.0,0.0,
18,Odisha,61.0,24.0,1.0,36.0,24/04/2020 17:42:50,OR,0,0.0,0.0,
19,Uttarakhand,44.0,11.0,0.0,33.0,24/04/2020 17:42:51,UT,0,0.0,0.0,
20,Jharkhand,41.0,0.0,2.0,39.0,24/04/2020 17:42:52,JH,0,0.0,0.0,
21,Himachal Pradesh,39.0,16.0,2.0,21.0,24/04/2020 17:42:54,HP,0,0.0,0.0,Death of Tibetan refugee included
22,Chhattisgarh,36.0,25.0,0.0,11.0,24/04/2020 17:42:55,CT,0,0.0,0.0,
23,Assam,35.0,17.0,1.0,17.0,24/04/2020 17:42:56,AS,0,0.0,0.0,Includes one case from Nagaland
24,Chandigarh,26.0,13.0,0.0,13.0,19/04/2020 17:45:25,CH,0,0.0,0.0,
25,Ladakh,18.0,14.0,0.0,4.0,24/04/2020 17:42:57,LA,0,0.0,0.0,
26,Andaman and Nicobar Islands,15.0,11.0,0.0,4.0,24/04/2020 17:43:01,AN,0,0.0,0.0,
27,Meghalaya,11.0,0.0,1.0,10.0,24/04/2020 17:43:14,ML,0,0.0,0.0,
28,Goa,7.0,7.0,0.0,0.0,19/04/2020 17:04:07,GA,0,0.0,0.0,
29,Puducherry,7.0,4.0,0.0,3.0,19/04/2020 08:25:07,PY,0,0.0,0.0,
30,Manipur,2.0,1.0,0.0,1.0,24/04/2020 17:43:16,MN,0,0.0,0.0,
31,Tripura,2.0,1.0,0.0,1.0,24/04/2020 17:43:17,TR,0,0.0,0.0,
32,Mizoram,1.0,0.0,0.0,1.0,26/03/2020 07:19:29,MZ,0,0.0,0.0,
33,Arunachal Pradesh,1.0,1.0,0.0,0.0,16/04/2020 19:33:11,AR,0,0.0,0.0,
34,Nagaland,0.0,0.0,0.0,0.0,20/04/2020 08:45:07,NL,0,0.0,0.0,
35,Dadra and Nagar Haveli,0.0,0.0,0.0,0.0,17/04/2020 15:03:07,DN,0,0.0,0.0,
36,Daman and Diu,0.0,0.0,0.0,0.0,26/03/2020 07:19:29,DD,0,0.0,0.0,
37,Lakshadweep,0.0,0.0,0.0,0.0,26/03/2020 07:19:29,LD,0,0.0,0.0,
38,Sikkim,0.0,0.0,0.0,0.0,26/03/2020 07:19:29,SK,0,0.0,0.0,
